id,timestamp,t,u_e,u_i
INV_000,12/2/2025 0:00,0,0,0
INV_001,12/2/2025 0:00,0,0,0
INV_002,12/2/2025 0:00,0,0,0
INV_003,12/2/2025 0:00,0,0,0
INV_004,12/2/2025 0:00,0,0,0
INV_005,12/2/2025 0:00,0,0,0
INV_006,12/2/2025 0:00,0,0,0
INV_007,12/2/2025 0:00,0,0,0
INV_008,12/2/2025 0:00,0,0,0
INV_009,12/2/2025 0:00,0,0,0
INV_010,12/2/2025 0:00,0,0,0
INV_011,12/2/2025 0:00,0,0,0
INV_012,12/2/2025 0:00,0,0,0
INV_013,12/2/2025 0:00,0,0,0
INV_014,12/2/2025 0:00,0,0,0
INV_015,12/2/2025 0:00,0,0,0
INV_016,12/2/2025 0:00,0,0,0
INV_017,12/2/2025 0:00,0,0,0
INV_018,12/2/2025 0:00,0,0,0
INV_019,12/2/2025 0:00,0,0,0
INV_020,12/2/2025 0:00,0,0,0
INV_021,12/2/2025 0:00,0,0,0
INV_022,12/2/2025 0:00,0,0,0
INV_023,12/2/2025 0:00,0,0,0
INV_024,12/2/2025 0:00,0,0,0
INV_000,12/2/2025 0:10,0,0,0
INV_001,12/2/2025 0:10,0,0,0
INV_002,12/2/2025 0:10,0,0,0
INV_003,12/2/2025 0:10,0,0,0
INV_004,12/2/2025 0:10,0,0,0
INV_005,12/2/2025 0:10,0,0,0
INV_006,12/2/2025 0:10,0,0,0
INV_007,12/2/2025 0:10,0,0,0
INV_008,12/2/2025 0:10,0,0,0
INV_009,12/2/2025 0:10,0,0,0
INV_010,12/2/2025 0:10,0,0,0
INV_011,12/2/2025 0:10,0,0,0
INV_012,12/2/2025 0:10,0,0,0
INV_013,12/2/2025 0:10,0,0,0
INV_014,12/2/2025 0:10,0,0,0
INV_015,12/2/2025 0:10,0,0,0
INV_016,12/2/2025 0:10,0,0,0
INV_017,12/2/2025 0:10,0,0,0
INV_018,12/2/2025 0:10,0,0,0
INV_019,12/2/2025 0:10,0,0,0
INV_020,12/2/2025 0:10,0,0,0
INV_021,12/2/2025 0:10,0,0,0
INV_022,12/2/2025 0:10,0,0,0
INV_023,12/2/2025 0:10,0,0,0
INV_024,12/2/2025 0:10,0,0,0
INV_000,12/2/2025 0:20,0,0,0
INV_001,12/2/2025 0:20,0,0,0
INV_002,12/2/2025 0:20,0,0,0
INV_003,12/2/2025 0:20,0,0,0
INV_004,12/2/2025 0:20,0,0,0
INV_005,12/2/2025 0:20,0,0,0
INV_006,12/2/2025 0:20,0,0,0
INV_007,12/2/2025 0:20,0,0,0
INV_008,12/2/2025 0:20,0,0,0
INV_009,12/2/2025 0:20,0,0,0
INV_010,12/2/2025 0:20,0,0,0
INV_011,12/2/2025 0:20,0,0,0
INV_012,12/2/2025 0:20,0,0,0
INV_013,12/2/2025 0:20,0,0,0
INV_014,12/2/2025 0:20,0,0,0
INV_015,12/2/2025 0:20,0,0,0
INV_016,12/2/2025 0:20,0,0,0
INV_017,12/2/2025 0:20,0,0,0
INV_018,12/2/2025 0:20,0,0,0
